sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,study_id,study_url,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter,IncAnalysis,RND,HSD,EA,HH,ID,HHID,HHID.rnd,Plate,Sample.identifier,Row,Column,Well,MolSpecies,Expected.species,kdr,N1575Y,Cyp4J5,Coeaed1,Pfal.score,OVM.score,Pfal,OVM,X2La,Cyp6P4,ZZB,X6AA,X6AA_Dup,lat,lon,survey,LLIN.intend,LLIN.actual,Net.intend,Net.actual,subregions,Wave,HSD-name,Arm,Arm_ITT,Arm_PP,cohort_admin2_round,cohort_admin1_round,cohort_arm_round,cohort_armpp_round,cohort_subregions_round
VBS64452-6645STDY13043152,108004014001,Martin Donnelly,Uganda,8004,2017,5,0.7,33.649,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Bugweri,funestus,UG-E_fune_2017,UG-E_fune_2017_05,UG-E_fune_2017_Q2,UG-E_Bugweri_fune_2017,UG-E_Bugweri_fune_2017_05,UG-E_Bugweri_fune_2017_Q2,1,1,80,4.0,14.0,1,108004014,8004014,4,6,A,6,6A,FUN,GA,SS,,,,0,0,0,0,,,,,,0.697616,33.64115,baseline,2,2.0,4,4.0,East Central,3,Bugweri,OlysetPlus,PBO LLIN,PBO LLIN,Bugweri_Round-1,UG-E_round-1,OlysetPlus_round-1,PBO LLIN_round-1,East Central_round-1
VBS64475-6645STDY13043175,108006088003,Martin Donnelly,Uganda,8006,2017,5,0.593,33.645,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Bugweri,funestus,UG-E_fune_2017,UG-E_fune_2017_05,UG-E_fune_2017_Q2,UG-E_Bugweri_fune_2017,UG-E_Bugweri_fune_2017_05,UG-E_Bugweri_fune_2017_Q2,1,1,80,6.0,88.0,3,108006088,8006088,4,92,H,8,8H,FUN,GA,SS,,,,0,0,0,0,,,,,,0.5919099,33.64466,baseline,2,2.0,4,4.0,East Central,3,Bugweri,OlysetPlus,PBO LLIN,PBO LLIN,Bugweri_Round-1,UG-E_round-1,OlysetPlus_round-1,PBO LLIN_round-1,East Central_round-1
VBS64510-6645STDY13043210,107108112003,Martin Donnelly,Uganda,7108,2017,3,1.724,33.602,F,1288-VO-UG-DONNELLY-VMF00219,1.1,1,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Soroti,funestus,UG-E_fune_2017,UG-E_fune_2017_03,UG-E_fune_2017_Q1,UG-E_Soroti_fune_2017,UG-E_Soroti_fune_2017_03,UG-E_Soroti_fune_2017_Q1,1,1,71,8.0,112.0,3,107108112,7108112,8,25,C,1,1C,FUN,GA,,,,,0,0,0,0,,,,,,1.722902,33.60243,baseline,1,1.0,3,3.0,Mid-Eastern,2,Soroti Municipality,Olyset,Non-PBO LLIN,Non-PBO LLIN,Soroti_Round-1,UG-E_round-1,Olyset_round-1,Non-PBO LLIN_round-1,Mid-Eastern_round-1
VBS64513-6645STDY13043213,107108112006,Martin Donnelly,Uganda,7108,2017,3,1.724,33.602,F,1288-VO-UG-DONNELLY-VMF00219,1.1,1,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Soroti,funestus,UG-E_fune_2017,UG-E_fune_2017_03,UG-E_fune_2017_Q1,UG-E_Soroti_fune_2017,UG-E_Soroti_fune_2017_03,UG-E_Soroti_fune_2017_Q1,1,1,71,8.0,112.0,6,107108112,7108112,8,61,F,1,1F,FUN,GA,,,,,0,0,0,0,,,,,,1.722902,33.60243,baseline,1,1.0,3,3.0,Mid-Eastern,2,Soroti Municipality,Olyset,Non-PBO LLIN,Non-PBO LLIN,Soroti_Round-1,UG-E_round-1,Olyset_round-1,Non-PBO LLIN_round-1,Mid-Eastern_round-1
VBS64514-6645STDY13043214,107108112007,Martin Donnelly,Uganda,7108,2017,3,1.724,33.602,F,1288-VO-UG-DONNELLY-VMF00219,1.1,1,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Soroti,funestus,UG-E_fune_2017,UG-E_fune_2017_03,UG-E_fune_2017_Q1,UG-E_Soroti_fune_2017,UG-E_Soroti_fune_2017_03,UG-E_Soroti_fune_2017_Q1,1,1,71,8.0,112.0,7,107108112,7108112,8,73,G,1,1G,FUN,GA,,,,,0,0,0,0,,,,,,1.722902,33.60243,baseline,1,1.0,3,3.0,Mid-Eastern,2,Soroti Municipality,Olyset,Non-PBO LLIN,Non-PBO LLIN,Soroti_Round-1,UG-E_round-1,Olyset_round-1,Non-PBO LLIN_round-1,Mid-Eastern_round-1
VBS64637-6645STDY13043339,108701007002,Martin Donnelly,Uganda,8701,2017,3,1.181,34.321,F,1288-VO-UG-DONNELLY-VMF00219,1.1,1,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Sironko,funestus,UG-E_fune_2017,UG-E_fune_2017_03,UG-E_fune_2017_Q1,UG-E_Sironko_fune_2017,UG-E_Sironko_fune_2017_03,UG-E_Sironko_fune_2017_Q1,1,1,87,1.0,7.0,2,108701007,8701007,11,41,D,5,5D,FUN,GA,,,,,1,0,0,0,,MM,,,,1.181099,34.31929,baseline,2,2.0,4,4.0,North Eastern,2,Budadiri East,OlysetPlus,PBO LLIN,PBO LLIN,Sironko_Round-1,UG-E_round-1,OlysetPlus_round-1,PBO LLIN_round-1,North Eastern_round-1
VBS64670-6645STDY13043373,103110065004,Martin Donnelly,Uganda,3110,2017,5,1.254,30.815,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Kikuube,funestus,UG-W_fune_2017,UG-W_fune_2017_05,UG-W_fune_2017_Q2,UG-W_Kikuube_fune_2017,UG-W_Kikuube_fune_2017_05,UG-W_Kikuube_fune_2017_Q2,1,1,31,10.0,65.0,4,103110065,3110065,11,69,F,9,9F,FUN,GA,,,,,0,0,0,0,,,,,,1.260511,30.81912,baseline,1,1.0,1,1.0,Mid-Western,4A,Buhaguzi,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Kikuube_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64689-6645STDY13043392,103003017001,Martin Donnelly,Uganda,3003,2017,5,1.676,31.255,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Hoima,funestus,UG-W_fune_2017,UG-W_fune_2017_05,UG-W_fune_2017_Q2,UG-W_Hoima_fune_2017,UG-W_Hoima_fune_2017_05,UG-W_Hoima_fune_2017_Q2,1,1,30,3.0,17.0,1,103003017,3003017,11,12,A,12,12A,FUN,FU,,,,,0,0,0,0,,,,,,1.675418,31.25531,baseline,2,2.0,2,2.0,Mid-Western,4A,Bugahya,PermaNet-3,PBO LLIN,PBO LLIN,Hoima_Round-1,UG-W_round-1,PermaNet-3_round-1,PBO LLIN_round-1,Mid-Western_round-1
VBS64690-6645STDY13043393,103003017002,Martin Donnelly,Uganda,3003,2017,5,1.676,31.255,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Hoima,funestus,UG-W_fune_2017,UG-W_fune_2017_05,UG-W_fune_2017_Q2,UG-W_Hoima_fune_2017,UG-W_Hoima_fune_2017_05,UG-W_Hoima_fune_2017_Q2,1,1,30,3.0,17.0,2,103003017,3003017,11,24,B,12,12B,FUN,FU,,,,,0,0,0,0,,,,,,1.675418,31.25531,baseline,2,2.0,2,2.0,Mid-Western,4A,Bugahya,PermaNet-3,PBO LLIN,PBO LLIN,Hoima_Round-1,UG-W_round-1,PermaNet-3_round-1,PBO LLIN_round-1,Mid-Western_round-1
VBS64699-6645STDY13043403,105309004002,Martin Donnelly,Uganda,5309,2017,6,1.062,30.778,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Kagadi,funestus,UG-W_fune_2017,UG-W_fune_2017_06,UG-W_fune_2017_Q2,UG-W_Kagadi_fune_2017,UG-W_Kagadi_fune_2017_06,UG-W_Kagadi_fune_2017_Q2,1,1,53,9.0,4.0,2,105309004,5309004,14,37,D,1,1D,FUN,FU,,,,,0,0,0,0,,MM,,,,1.061925,30.77963,baseline,2,2.0,4,4.0,Mid-Western,4B,Buyaga West,OlysetPlus,PBO LLIN,PBO LLIN,Kagadi_Round-1,UG-W_round-1,OlysetPlus_round-1,PBO LLIN_round-1,Mid-Western_round-1
